作品,作者,链接,类型,状态,字数,简介
凡人修仙之仙界篇,忘语,https://book.qidian.com/info/1010734492,仙侠-神话修真,连载中,239.02万字,凡人修仙，风云再起时空穿梭，轮回逆转金仙太乙，大罗道祖三千大道，法则至尊《凡人修仙传》仙界篇，一个韩立叱咤仙界的故事，一个凡人小子修仙的不灭传说。特说明下，没有看过前传的书友，并不影响本书的阅读体验，
诡秘之主,爱潜水的乌贼,https://book.qidian.com/info/1010868264,玄幻-异世大陆,连载中,221.4万字,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，
明朝败家子,上山打老虎额,https://book.qidian.com/info/1011705052,历史-两宋元明,连载中,346.53万字,重要通知，明朝败家子，又名《明颂》。弘治十一年。这是一个美好的清晨。此时朱厚照初成年。此时王守仁和唐伯虎磨刀霍霍，预备科举。此时小冰河期已经来临，绵长的严寒肆虐着大地。此时在南和伯府里，地主家的傻儿子
学霸的黑科技系统,晨星LL,https://book.qidian.com/info/1011449273,科幻-超级科技,连载中,197.9万字,“系统，积分能兑钱吗？”“不能。”“干，那我要你何用！”“本系统能让你当上学爸，全人类爸爸的爸，你还要钱有什么用？”本书又名《我要当学霸》
大医凌然,志鸟村,https://book.qidian.com/info/1011486666,都市-都市生活,连载中,147.52万字,医学院学生凌然有一个小目标，要成为世界上最伟大的医生，结果不小心实现了。
我有一座恐怖屋,我会修空调,https://book.qidian.com/info/1012284323,悬疑灵异-侦探推理,连载中,122.05万字,【五万均订悬疑灵异精品】陈歌继承了失踪父母留下的鬼屋，无奈生意萧条，直到整理鬼屋时意外发现的手机改变了这一切。只要完成手机每日布置的不同难度的任务，鬼屋就能得到修缮甚至扩建。于是陈歌开始在各大禁地里探
史上最强赘婿,沉默的糕点,https://book.qidian.com/info/1012982353,玄幻-东方玄幻,连载中,248.89万字,穿越异世成为财主家的小白脸赘婿，因太废物被赶出来。于是他发奋图强，找一个更有权有势绝美高贵的豪门千金做了上门女婿。练武是不可能练武的，这辈子都不可能练武，只能靠吃软饭才能维持生活！我要把老婆培养成天下
超神机械师,齐佩甲,https://book.qidian.com/info/1009480992,游戏-游戏异界,连载中,264.27万字,韩萧，《星海》骨灰级代练，被来自东（zuo）方(zhe)的神秘力量扔进穿越大军，携带玩家面板变成NPC，回到《星海》公测之前，毅然选择难度最高的机械系。战舰列队纵横星海，星辰机甲夭矫如龙，幽能炮毁天灭
圣墟,辰东,https://book.qidian.com/info/1004608738,玄幻-东方玄幻,连载中,487.29万字,在破败中崛起，在寂灭中复苏。沧海成尘，雷电枯竭，那一缕幽雾又一次临近大地，世间的枷锁被打开了，一个全新的世界就此揭开神秘的一角……
全球高武,老鹰吃小鸡,https://book.qidian.com/info/1012237441,都市-异术超能,连载中,468.56万字,地窟入侵，武道崛起。小人物也有大情怀，为生存而战，为守护而战。且看小人物方平，一步步崛起，拯救（忽悠）全世界的故事！（一群群号555700424，二群群号931250725，全订验证群号6250120
牧神记,宅猪,https://book.qidian.com/info/1009704712,玄幻-东方玄幻,连载中,468.89万字,大墟的祖训说，天黑，别出门。大墟残老村的老弱病残们从江边捡到了一个婴儿，取名秦牧，含辛茹苦将他养大。这一天夜幕降临，黑暗笼罩大墟，秦牧走出了家门……做个春风中荡漾的反派吧！瞎子对他说。秦牧的反派之路，
民国谍影,寻青藤,https://book.qidian.com/info/1011489683,军事-谍战特工,连载中,180.28万字,一个平凡普通的公务员，机缘巧合回到了民国二十五年，被迫加入军统，寻找地下组织，追查日本间谍，在波澜壮阔的大时代中为祖国，为民族的解放与复兴贡献着自己的一份力量，开始了他传奇的谍海生涯。QQ群83352
道君,跃千愁,https://book.qidian.com/info/1005236478,仙侠-幻想修仙,连载中,470.02万字,一个地球神级盗墓宗师，闯入修真界的故事……桃花源里，有歌声。山外青山，白骨山。五花马，千金裘，倚天剑。应我多情，啾啾鬼鸣，美人薄嗔。天地无垠，谁家旗鼓，碧落黄泉，万古高楼。为义气争雄！为乱世争霸！你好
深夜书屋,纯洁滴小龙,https://book.qidian.com/info/1011335417,悬疑灵异-诡秘悬疑,连载中,278.24万字,一家只在深夜开门营业的书屋，欢迎您的光临。————————《vip全订书友群》：557560752（进群粉丝值验证）《读书群》：523978007（无需验证）《战斗群》：457654443（无需验证）
修真聊天群,圣骑士的传说,https://book.qidian.com/info/3602691,都市-异术超能,连载中,707.92万字,某天，宋书航意外加入了一个仙侠中二病资深患者的交流群，里面的群友们都以‘道友’相称，群名片都是各种府主、洞主、真人、天师。连群主走失的宠物犬都称为大妖犬离家出走。整天聊的是炼丹、闯秘境、炼功经验啥的。
汉乡,孑与2,https://book.qidian.com/info/1010136878,历史-架空历史,连载中,326.9万字,我们接受了祖先的遗产，这让中华辉煌了数千年，我们是如此的心安理得，从未想过要回归那个在刀耕火种中苦苦寻找出路的时代。反哺我们苦难的祖先，并从中找到故乡的真正意义，将是本书要讲的故事。张佳宁、王天辰主演
天道图书馆,横扫天涯,https://book.qidian.com/info/1004179514,玄幻-异世大陆,连载中,530.96万字,【2017最火玄幻作品，海外点推双榜第一】张悬穿越异界，成了一名光荣的教师，脑海中多出了一个神秘的图书馆。只要他看过的东西，无论人还是物，都能自动形成书籍，记录下对方各种各样的缺点，于是，他牛大了！教
三寸人间,耳根,https://book.qidian.com/info/1010327039,仙侠-修真文明,连载中,151.7万字,举头三尺无神明，掌心三寸是人间。这是耳根继《仙逆》《求魔》《我欲封天》《一念永恒》后，创作的第五部长篇小说《三寸人间》。
飞剑问道,我吃西红柿,https://book.qidian.com/info/1010468795,仙侠-古典仙侠,连载中,186.68万字,番茄继《吞噬星空》《莽荒纪》《雪鹰领主》后的第九本小说。————在这个世界，有狐仙、河神、水怪、大妖，也有求长生的修行者。修行者们，开法眼，可看妖魔鬼怪。炼一口飞剑，可千里杀敌。千里眼、顺风耳，更可探
秦吏,七月新番,https://book.qidian.com/info/1011097497,历史-上古先秦,连载中,263.86万字,战国之末，华夏千年未有之大变局。有人天生世卿。有人贵为公子。他却重生成秦国小卒黑夫，云梦秦简中的小人物。为免死于沟壑，为掌握自己命运，他奋力向上攀爬。好在，他赶上了一个大时代。六王毕，四海一！千年血统
黎明之剑,远瞳,https://book.qidian.com/info/1010400217,科幻-时空穿梭,连载中,159.15万字,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，
全职法师,乱,https://book.qidian.com/info/3489766,玄幻-异世大陆,连载中,629.47万字,一觉醒来，世界大变。熟悉的高中传授的是魔法，告诉大家要成为一名出色的魔法师。居住的都市之外游荡着袭击人类的魔物妖兽，虎视眈眈。崇尚科学的世界变成了崇尚魔法，偏偏有着一样以学渣看待自己的老师，一样目光异
